MP10-26-15-17	Y. lip NTase #1
MP06-18-15-30	GLD-4 #5
MP06-18-15-31	GLD-4 #6
MP06-18-15-32	GLD-4 #11
MP06-18-15-33	ZK863.4 #1
MP06-18-15-34	ZK863.4 #3
MP06-18-15-35	crassa 9/10 yeast colony #17
MP06-18-15-36	SPAC1093  A-1
MP06-18-15-37	SPAC1093  A-2
MP06-18-15-38	SPAC1093  C-1
MP06-18-15-39	SPAC1093  C-2
MP06-18-15-40	SPCC645 #1
MP06-18-15-41	SPCC645 #2
MP06-18-15-42	S. cerevisiae CCA1 B-1
MP06-18-15-43	S. cerevisiae CCA1 B-2
MP06-18-15-44	rde-3 wt a-1
MP06-18-15-45	rde-3 wt a-2
MP06-18-15-46	rde-3 wt b-2
MP06-18-15-47	Nc13-182
MP06-18-15-48	Nc13-226
MP-NB-02-04-15-31	A. nidulans cutA 4 
MP-NB-02-04-15-32	A. nidulans cutA 4 
MP-NB-02-04-15-33	A. nidulans cutB 1 
MP-NB-02-04-15-34	A. nidulans cutB 1 
MP-NB-02-04-15-35	A. nidulans cutB 1 
MP-NB-02-04-15-36	Hs PAPD5 37  
MP-NB-02-04-15-37	Hs PAPD5 41  
MP-NB-02-04-15-38	Hs PAPD7 4  D
MP-NB-02-04-15-39	Hs PAPD7 13  A
MP-NB-02-04-15-40	Hs PAPD7 13  B
MP-NB-02-04-15-41	MTPAP #3
MP-NB-02-04-15-42	N. crassa 9/10 #2
MP-NB-02-04-15-43	N. crassa 15/16 #17
MP-NB-02-04-15-44	TUT4 3B
MP-NB-02-04-15-45	Human TUT4 3A
MP-NB-02-04-15-46	Human TUT4 3C
MP-NB-02-04-15-47	Ca5-1
MP-NB-02-04-15-48	Nc17/18
MP-NB-02-04-15-9	Nc13-182
MP-NB-02-04-15-10	Nc13-226
MP-NB-02-04-15-22	Nc7/8
MP-NB-02-04-15-11	A. nidulans cutA 4 
MP-NB-02-04-15-12	Hs PAPD5 37  
MP-NB-02-04-15-13	Hs PAPD5 41  
MP-NB-02-04-15-14	Star-PAP 41 A  
MP-NB-02-04-15-15	Star-PAP 41 C  
MP-NB-02-04-15-16	Star-PAP 41 D  
MP-NB-02-04-15-17	GLD2 #2
MP-NB-02-04-15-18	GLD2 #4
MP-NB-02-04-15-19	MTPAP #3
MP-NB-02-04-15-20	MAP125 Human TUT7 #1
MP-NB-02-04-15-21	MAP125 Human TUT7 #8
MP-NB-02-04-15-22	Nc7/8
MP-NB-02-04-15-23	Nc11/12
MP-NB-02-04-15-24	Ca1
MP-NB-02-04-15-25	Ca3
MP-NB-02-04-15-26	Ca4
MP-NB-02-04-15-27	Ca6
MP-NB-02-04-15-28	Ca7
MP-NB-02-04-15-29	Ca8
MP-NB-02-04-15-30	ca2
MP9-26-14-19	MAP62A PUP-3 #7
MP9-26-14-20	MAP78B PUP-3 DADA #2
MP9-26-14-21	MAP65B F31C3.2 #28
MP9-26-14-22	F31C3.2 DADA 2
MP9-26-14-25	MAP67A F43H9.3 #43
MP9-26-14-26	F43H9.3 DADA 8
MP9-26-14-27	MAP68A C53A5.16 #53
MP9-26-14-28	C53A5.16  DADA 14
MP9-26-14-29	MAP69B ZK863.4 #63
MP9-26-14-30	ZK863.4  DADA 20
MP9-26-14-31	PUP-1 FL #1
MP9-26-14-32	PUP-1 FL #6
MP9-26-14-33	MAP124 Human TUT4
MP9-26-14-34	MAP125 Human TUT7 #1
MP9-26-14-35	MAP125 Human TUT7 #8
MP9-26-14-36	S.pombe Cid12 A
MP9-26-14-37	Sp Cid12 DADA #27
MP9-26-14-38	MAP134 RDE-3 isoform b WT #1
MP9-26-14-39	MAP135 RDE-3 isoform b DADA #2
MP9-26-14-40	MAP64 RDE-3 #20
MP9-26-14-41	MAP122A RDE-3 DADA  #4
MP9-26-14-43	MAP129B RDE-3 G366R A
MP9-26-14-44	YEplac 181 LEU2 2u + tRNA
MP7-11-14-19	Sp. Cid1  WT #5 + Ser(IGA)
MP7-11-14-20	Sp. Cid1 DADA #77 + Ser(IGA)
MP7-11-14-21	Cid11- no intron #6  + Ser(IGA)
MP7-11-14-22	Cid12A  + Ser(IGA)
MP7-11-14-25	Sp. Cid13 G + Ser(IGA)
MP7-11-14-26	Cid14G  + Ser(IGA)
MP7-11-14-31	Cid16B  + Ser(IGA)
MP7-11-14-32	SPAC1093C  + Ser(IGA)
MP7-11-14-33	SPCC645C  + Ser(IGA)
MP7-11-14-34	Sc. Cca1 C + Ser(IGA)
MP-3-27-2014-13	RDE-3 + Ser(IGA) #1
MP-3-27-2014-14	Vector + Ser(IGA) #1
MP-3-27-2014-15	Cid12A  + Ser(IGA)
MP-3-27-2014-16	S.pombe Cid12A + Ser(IGA) 
MP-3-27-2014-17	MAP126B MS2 RDE-3 Del 113-221 A
MP-3-27-2014-18	MAP126C MS2 RDE-3 Del 113-221 E
MP-3-27-2014-19	MAP129B MS2 RDE-3 G366R A
MP-3-27-2014-20	MAP129C MS2 RDE-3 G366R C
MP-3-27-2014-21	MAP129D MS2 RDE-3 G366R D
MP-3-27-2014-22	MAP129E MS2 RDE-3 G366R F
MP-3-27-2014-25	S.pombe Cid12 A
MP-3-27-2014-26	MAP66 F43E2.1 #39
MP-3-27-2014-27	MAP77B F43E2.1 DADA #3
MP-3-27-2014-28	MAP64 RDE-3 #20
MP-3-27-2014-29	MAP122A MS2 RDE-3 DADA  #4
MP-3-27-2014-30	MAP122B MS2 RDE-3 DADA  #5
MP-3-27-2014-31	MAP122D MS2 RDE-3 DADA  #8
MP-3-27-2014-32	MAP124A MS2 RDE-3 G93E  #2
MP-3-27-2014-33	MAP124B MS2 RDE-3 G93E  #3
MP-3-27-2014-34	MAP125A MS2 RDE-3 D189N #5
MP-3-27-2014-35	MAP125B MS2 RDE-3 D189N #8
MP-3-27-2014-36	MAP126 MS2 RDE-3 Del 113-221 #14
MP-3-27-2014-37	MAP127A MS2 RDE-3 Del 164-end #19
MP-3-27-2014-38	MAP127B MS2 RDE-3 Del 164-end #20
MP-3-27-2014-39	MAP128A MS2 RDE-3 Del 169-end #21
MP-3-27-2014-40	MAP128B MS2 RDE-3 Del 169-end #24
MP-3-27-2014-41	MAP129A MS2 RDE-3 G366R #11
MP-3-27-2014-43	LEU2 2u  + Ser(IGA)
MP-3-27-2014-44	LEU2 2u  + URA3 2u
MP-1-7-14-30	PUP-2 WT + 20 pmol MP338
MP-1-7-14-13	PUP-2 DADA + 20 pmol MP338
MP-1-7-14-32	Sp. Cid1 WT-5 + 20 pmol MP338
MP-1-7-14-31	Sp. Cid1 DADA + 20 pmol MP338
MP-1-7-14-33	PUP-3 WT + 20 pmol MP338
MP-1-7-14-34	RDE-3 + 20 pmol MP338
MP-1-7-14-35	F31C3.2 #28 + 20 pmol MP338
MP-1-7-14-36	F43E2.1 WT + 20 pmol MP338
MP-1-7-14-37	F43E2.1 DADA + 20 pmol MP338
MP-1-7-14-38	F43H9.3 + 20 pmol MP338
MP-1-7-14-39	C53A5.16 + 20 pmol MP338
MP-1-7-14-40	ZK863.4 + 20 pmol MP338
MP-1-7-14-41	GLD-2 + 20 pmol MP338
MP-1-7-14-43	RDE-3 + 20 pmol MP338
MP-1-7-14-44	F43E2.1 WT + 20 pmol MP338
